"Organisation H-ID"	"Organisation Record Title"	"Short name / acronym"	"Full name of organisation"	"Alternative name(s)"	"Organisation type"	subtype	Country(ies)	"Logo or representative image"	"Logo or representative image ID"	"Logo or representative image Name"	"Logo or representative image Path"	"Short description"	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Thumbnail	"Thumbnail (temporal)"	Location	"Short description"	"subordinateTo (Organisation) H-ID"	"subordinateTo (Organisation) Record Title"	"Contact details or URL"	"Location (mappable point)"	note	"Related files"	"Related files ID"	"Related files Name"	"Related files Path"	"CartulR Entity ID"	mediumId	indexReference	IndexFontenay
81681	"Paris, Châtelet, notaires"		"Paris, Châtelet, notaires"									"sergents au)"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e185848	
81731	"Albret, seigneurie"		"Albret, seigneurie"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135447	
81737	"Cîteaux, Ordre"		"Cîteaux, Ordre"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188693	
81850	"Collinances, prieuré"		"Collinances, prieuré"	"Couleignanciis, prioratus"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e195386	
81929	Delsoler		Delsoler																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200399	
82013	"Écosse, royaume"		"Écosse, royaume"									reine																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e203590	
82111	Espagnols		Espagnols																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e206925	
82254	"Férons (les)"		"Férons (les)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e211360	
82255	"Ferrand, baillie"		"Ferrand, baillie"									"dans la paroisse d'Ayron"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e211371	
82289	Flamands		Flamands	Flamingi								Flamingi																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e212871	
82291	Flamands		Flamands	Flamingi																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e212942	
82326	"Fontevrault, Ordre"		"Fontevrault, Ordre"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e215462	
82564	"Amiens, diocèse"		"Amiens, diocèse"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e137380	
82714	Got		Got									"de Goto"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227512	
82987	Anglais		Anglais																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e139192	
83180	"Hainaut, comté"		"Hainaut, comté"	Anagnia								"Anagnia, comté"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239497	
83208	"Haverskerque, seigneurie"		"Haverskerque, seigneurie"				France					"dame, seigneur"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240860	
83398	Impériaux		Impériaux																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245770	
84172	Jouy		Jouy																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263062	
84178	"Sainte-Claire, abbaye"		"Sainte-Claire, abbaye"	"Joie-Notre-Dame (La), abbaye|Joye (La), abbaye"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263185	
84242	"Augi et Pontis Audomari (Per dominum archidiaconum)"		"Augi et Pontis Audomari (Per dominum archidiaconum)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e145346	
84259	"Languedoc, forêts royales"		"Languedoc, forêts royales"									"maîtres des forêts royales"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265834	
84276	Lattre		Lattre																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e267051	
84475	Avignonnais		Avignonnais																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e147233	
84517	"Lézignan-la-Cèbe, prieuré Notre-Dame (de)"		"Lézignan-la-Cèbe, prieuré Notre-Dame (de)"				France					"prieur de Notre-Dame"												"POINT(3.43839 43.4943)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e272752	
