"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	"link with organisation (Record relationship) H-ID"	"Relationship type"	"link with organisation (Record relationship) Record Title"	"link with organisation H-ID"	"Organisation Record Title"	"link with organisation Record Title"	"link with person (Record relationship) H-ID"	"Relationship type"	"link with person (Record relationship) Record Title"	"link with person H-ID"	"link with person Record Title"	"link_to_place (Record relationship) H-ID"	"Relationship type"	"link_to_place (Record relationship) Record Title"	"link_to_place H-ID"	"Place Record Title"	"link_to_place Record Title"	"link with subject (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with subject (Record relationship) Record Title"	"link with subject H-ID"	"Subject Record Title"	"link with subject Record Title"	"link with act (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with act (Record relationship) Record Title"	"link with act H-ID"	"link with act Record Title"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
81641	"Pierre de Abbate"	"Pierre de Abbate"																																									"de abbas, abbé, surnom d'enfant illégitime"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132109						
81642	Adam	Adam				"frère de Raoulin le Chat"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132534						
81643	"Alard de Courbon"	"Alard de Courbon"																102662	"a pour surnom"	"Alard de Courbon | a pour surnom - > Courbon (Seine-et-Marne, Coulommiers)"	96283	"Courbon (Seine-et-Marne, Coulommiers)"	"Courbon (Seine-et-Marne, Coulommiers)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135031						
81646	Charlemagne	Charlemagne																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183095						
81647	"Charles II le Chauve"	"Charles II le Chauve"				"roi de France"	331222	"est roi / reine de"	"Charles II le Chauve | est roi / reine de - > France, royaume"	96988	"France, royaume"	"France, royaume"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183113						
81648	"Charles III le Simple"	"Charles III le Simple"				"roi de France"	331223	"est roi / reine de"	"Charles III le Simple | est roi / reine de - > France, royaume"	96988	"France, royaume"	"France, royaume"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183135						
81649	"Charles Ier"	"Charles Ier"				"roi de Sicile"	331214	"est roi / reine de"	"Charles Ier | est roi / reine de - > Sicile, royaume"	101254	"Sicile, royaume"	"Sicile, royaume"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183153						
81650	"Charles II"	"Charles II"				"roi de Sicile"	323927|331215	"est roi / reine de|est roi / reine de"	"Charles II | est roi / reine de - > Jérusalem, royaume|Charles II | est roi / reine de - > Sicile, royaume"	97565|101254	"Jérusalem, royaume|Sicile, royaume"	"Jérusalem, royaume|Sicile, royaume"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183206						
81651	Charles	Charles				"fils aîné de Philippe, prince de Tarente, Charles de Tarente"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183248						
81652	Charles	Charles				"fils du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183263						
81653	Charles	Charles				"frère de Philippe de Valois"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183307						
