"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"Related Person(s)"	Honorific	"Cause of death"	"Person type"	"Person role"	"Birth date"	"Birth date (temporal)"	"Country of birth"	"Death date"	"Death date (temporal)"	"Country of death"	"Place of death"	"Place of death Record Title"	"Place of death H-ID"	"Place of death Record Title"	"Cause of death"	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
81641	"Pierre de Abbate"	"Pierre de Abbate"					"de abbas, abbé, surnom d'enfant illégitime"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132109																						
81642	Adam	Adam				"frère de Raoulin le Chat"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132534																						
81643	"Alard de Courbon"	"Alard de Courbon"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135031																						
81646	Charlemagne	Charlemagne						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183095																						
81647	"Charles II le Chauve"	"Charles II le Chauve"				"roi de France"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183113																						
81648	"Charles III le Simple"	"Charles III le Simple"				"roi de France"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183135																						
81649	"Charles Ier"	"Charles Ier"				"roi de Sicile"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183153																						
81650	"Charles II"	"Charles II"				"roi de Sicile"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183206																						
81651	Charles	Charles				"fils aîné de Philippe, prince de Tarente, Charles de Tarente"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183248																						
81652	Charles	Charles				"fils du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183263																						
81653	Charles	Charles				"frère de Philippe de Valois"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183307																						
81654	"Pierre Albais (Me)"	"Pierre Albais (Me)"		"Pierre Aubais (Me)"		"de Marsillargues, notaire"	"ou mieux Aubais"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135083																						
81655	Charles	Charles				"prince de Salerne et seigneur de l'honneur de Monte Sant' Angelo"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183318																						
81656	"Charles d'Anjou"	"Charles d'Anjou"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183341																						
81657	"Charles de Lunéville"	"Charles de Lunéville"				"chevalier, membre de l'hôtel du duc de Lorraine, familier et conseiller dudit duc"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183352																						
81658	"Charles de Sicile"	"Charles de Sicile"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183367																						
81659	"Charles de Tarente"	"Charles de Tarente"				"fils aîné de Philippe, prince de Tarente"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183378																						
81660	"Charles de Valois"	"Charles de Valois"		"Charles d'Anjou"		"comte de Valois, d'Alençon, de Chartres et d'Anjou, comes Valesii, Karolus comes Andegavensium"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183400																						
81661	"Charles de Valois"	"Charles de Valois"				"fils du précédent"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183697																						
81665	Albaron	Albaron				"seigneur de Montfrin, chevalier"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135129																						
81666	"Charpentier (Bertaud)"	"Charpentier (Bertaud)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183985																						
