"Place H-ID"	"Place Record Title"	"Place name"	"Additional (equivalent) names"	"Name chosen"	"Place type"	Country	"Code insee"	Department	Arrondissement	Canton	Town	"Municipality (record pointer) (Place) H-ID"	"Municipality (record pointer) (Place) Record Title"	County	Province	"Location (mappable)"	"Locational certainty"	"Index Reference"	Note	"GeoNames ID"	"DicoTopo ID"	"WikiData ID"	indexReference	IndexFontenay
81644	"Charité (La) (Nièvre, Cosne-Cours-sur-Loire)"	"Charité (La)"	"Charité-sur-Loire (La)"			France	58059	Nièvre	Cosne-Cours-sur-Loire							"POINT(3.0188106 47.1771359)"			"Nièvre, ar. Cosne"	3010201			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183056	
81663	"Charny (Aube, Méry-sur-Seine)"	Charny	Charny-le-Bachot			France	10086	Aube		Méry-sur-Seine						"POINT(3.9453164 48.5510966)"			"-le-Bachot, Aube, con Méry-sur-Seine"	3026518			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183908	
81664	"Chârost (Cher, Bourges)"	Chârost				France	18055	Cher	Bourges							"POINT(2.1176267 46.9925371)"			"Cher, ar. Bourges"	3026508			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183968	
81667	"Charry (Nièvre, Saint-Saulge)"	Charry				France	58035	Nièvre		Saint-Saulge		321724	"Bona (Nièvre, Nevers, Guérigny)"			"POINT(3.4238561 47.0611622)"			"Nièvre, con Saint-Saulge, cne Bona"	3031844			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184100	
81668	"Chasellis (Nièvre)"	Chasellis	Casalibus			France		Nièvre											Nièvre				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184627	
81669	"Chassagne (La) (Corrèze, Ussel, Égletons)"	"Chassagne (La)"				France	19039	Corrèze	Ussel	Égletons		321745	"Champagnac-la-Noaille (Corrèze, Ussel, Égletons)"			"POINT(2.0168176 45.3073963)"			"Corrèze, con Égletons, cne Champagnac-la-Noaille"	3027274			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184678	
81670	"Chassaigne (La) (Puy-de-Dôme, Thiers, Thiers)"	"Chassaigne (La)"				France	63430	Puy-de-Dôme	Thiers	Thiers		101416	"Thiers (Puy-de-Dôme)"			"POINT(3.5122198 45.8588497)"			"Puy-de-Dôme, con et cne Thiers"	2972857			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184695	
81672	"Chassenay (Côte-d'Or)"	Chassenay						Côte-d'Or											"Côte-d'Or, con et cne Arnay-le-Duc, ou con Semur, cne Vic-de Chassenay"				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184727	
81673	"Chastel (Allier, Vichy, Moulins-2)"	Chastel	Châtelperron			France	03067	Allier	Vichy	Moulins-2						"POINT(3.6372432 46.400106)"			"auj. Châtelperron, Allier, con Jaligny"	3026133			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184766	
81674	"Chastel (Ardennes, Rethel)"	Chastel	Château-Porcien			France	08107	Ardennes	Rethel							"POINT(4.24513 49.529127)"			"Château-Porcien, Ardennes, ar. Rethel"	3026216			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184783	
81675	"Chastel (Le)"	"Chastel (Le)"																	"Non identifié"				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184819	
81679	"Château (Le)"	"Château (Le)"				France													"Non identifié"				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184883	
81683	"Châtillon (Doubs, Besançon, Baume-les-Dames)"	Châtillon	Châtillon-Guyotte			France	25132	Doubs	Besançon	Baume-les-Dames						"POINT(6.1693508 47.3305637)"			"-Guyotte, Doubs, con Roulans"	3026069			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186147	
81685	"Châtillon (Seine-et-Marne, Châtelet-en-Brie (Le))"	Châtillon	Châtillon-la-Borde			France	77103	Seine-et-Marne		"Châtelet-en-Brie (Le)"						"POINT(2.8248747 48.53885975)"			"-la-Borde, Seine-et-Marne, con Le Châtelet-en-Brie"	3026068			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186219	
81691	"Chaudenay (Haute-Marne, Langres, Chalindrey)"	Chaudenay				France	52119	Haute-Marne	Langres	Chalindrey						"POINT(5.5015001 47.8219449)"			"Haute-Marne, con Fayl-Billot"	3025987			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186559	
81701	"Chauvigny (Vienne, Poitiers)"	Chauvigny				France	86070	Vienne	Poitiers							"POINT(0.6439464 46.5695048)"			"Vienne, ar. Montmorillon"	3025809			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186936	
81702	"Chauvirey (Haute-Saône, Vesoul)"	Chauvirey	Chauverio|Chauvirey-le-Châtel			France	70143	Haute-Saône	Vesoul					Jussey		"POINT(5.7529244 47.7910208)"			"-le-Châtel, Haute-Saône, con Vitrey"	3025806			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186969|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186899	
81703	"Chavençon (Oise, Beauvais, Chaumont-en-Vexin)"	Chavençon				France	60144	Oise	Beauvais	Chaumont-en-Vexin						"POINT(1.9944013 49.1884053)"			"Oise, con Méry"	3025731			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187037	
81705	"Chelles (Oise, Compiègne, Compiègne-2)"	Chelles				France	60145	Oise	Compiègne	Compiègne-2						"POINT(3.0344372 49.3549458)"			"Oise, con Attichy"	3025621			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187150	
81709	"Albi et Albigeois (Tarn)"	"Albi et Albigeois"				France	81004	Tarn				317310	"Albi (Tarn)"			"POINT(2.148 43.9298)"				3038261			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135319	
81710	"Chenou (Seine-et-Marne, Fontainebleau, Nemours)"	Chenou				France	77110	Seine-et-Marne	Fontainebleau	Nemours						"POINT(2.659207 48.1655515)"			"Seine-et-Marne, con Château-Landon"	3025499			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187290	
81712	"Chessetz (terre des) (Charente, Châteauneuf-sur-Charente)"	"Chessetz (terre des)"	"Chessez (terre des)"			France	16057	Charente		Châteauneuf-sur-Charente		320928	"Bouteville (Charente, Châteauneuf-sur-Charente)"			"POINT(-0.13734 45.59963)"				3030761			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187525	
81713	"Chevillon (Loiret, Montargis, Montargis)"	Chevillon	Chevillon-sur-Huillard			France	45092	Loiret	Montargis	Montargis						"POINT(2.6251757 47.9627225)"			"Loiret, con Montargis"	3025316			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187615	
81714	"Chevresis (Aisne, Ribemont)"	Chevresis				France	02184	Aisne		Ribemont		321906	"Chevresis-Monceau (Aisne, Saint-Quentin, Ribemont)"			"POINT(3.5725 49.7544444)"			"Aisne, con Ribemont, cne Chevresis-Monceau"	3025296			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187647	
